question_text;answer_text;is_correct
What is an ignition interlock device?;A device that prevents a vehicle from starting if alcohol is detected on the driver's breath.;1
What is an ignition interlock device?;Do whatever seems safest at the moment.;0
What is an ignition interlock device?;Follow other drivers' behavior rather than signs or rules.;0
When might you be required to install an ignition interlock device?;Do whatever seems safest at the moment.;0
When might you be required to install an ignition interlock device?;Follow other drivers' behavior rather than signs or rules.;0
When might you be required to install an ignition interlock device?;After certain DUI convictions or as a condition of license reinstatement.;1
When might you be required to install an ignition interlock device?;"There is no specific rule; use personal judgment.";0
Can you be charged with DUI for prescription drugs?;Do whatever seems safest at the moment.;0
Can you be charged with DUI for prescription drugs?;Follow other drivers' behavior rather than signs or rules.;0
Can you be charged with DUI for prescription drugs?;Yes, if the medication impairs your ability to drive safely.;1
Can you be charged with DUI for prescription drugs?;"There is no specific rule; use personal judgment.";0
"What is the per se"" law regarding DUI?""";Do whatever seems safest at the moment.;0
"What is the per se"" law regarding DUI?""";Follow other drivers' behavior rather than signs or rules.;0
"What is the per se"" law regarding DUI?""";It's illegal to drive with a BAC of 0.08% or higher regardless of whether you appear impaired.;1
"What is the per se"" law regarding DUI?""";"There is no specific rule; use personal judgment.";0
Can you be arrested for DUI on private property?;Do whatever seems safest at the moment.;0
Can you be arrested for DUI on private property?;Yes, DUI laws apply to both public roads and private property accessible to the public.;1
Can you be arrested for DUI on private property?;"There is no specific rule; use personal judgment.";0
Can you be arrested for DUI on private property?;Follow other drivers' behavior rather than signs or rules.;0
When must you wear a seatbelt in Alaska?;"There is no specific rule; use personal judgment.";0
When must you wear a seatbelt in Alaska?;Do whatever seems safest at the moment.;0
When must you wear a seatbelt in Alaska?;Follow other drivers' behavior rather than signs or rules.;0
When must you wear a seatbelt in Alaska?;All drivers and passengers must wear seatbelts at all times while the vehicle is in motion.;1
At what age can a child sit in the front seat?;"Children under 8 must be in appropriate child restraints; specific front seat rules vary.";1
At what age can a child sit in the front seat?;Follow other drivers' behavior rather than signs or rules.;0
At what age can a child sit in the front seat?;"There is no specific rule; use personal judgment.";0
At what age can a child sit in the front seat?;Do whatever seems safest at the moment.;0
What is the penalty for not wearing a seatbelt?;Do whatever seems safest at the moment.;0
What is the penalty for not wearing a seatbelt?;Follow other drivers' behavior rather than signs or rules.;0
What is the penalty for not wearing a seatbelt?;Fines and possible license points.;1
What is the penalty for not wearing a seatbelt?;"There is no specific rule; use personal judgment.";0
When is it legal to use a cell phone while driving?;Follow other drivers' behavior rather than signs or rules.;0
When is it legal to use a cell phone while driving?;"There is no specific rule; use personal judgment.";0
When is it legal to use a cell phone while driving?;Do whatever seems safest at the moment.;0
When is it legal to use a cell phone while driving?;"Only with hands-free devices; handheld use is prohibited in many areas.";1
What should you do if your vehicle breaks down on the highway?;Do whatever seems safest at the moment.;0
What should you do if your vehicle breaks down on the highway?;"There is no specific rule; use personal judgment.";0
What should you do if your vehicle breaks down on the highway?;Pull as far right as possible, turn on hazard lights, and exit on the side away from traffic.;1
What should you do if your vehicle breaks down on the highway?;Follow other drivers' behavior rather than signs or rules.;0
How should you handle a tire blowout while driving?;Maintain control, gradually slow down, and pull over safely without sudden braking.;1
How should you handle a tire blowout while driving?;Follow other drivers' behavior rather than signs or rules.;0
How should you handle a tire blowout while driving?;"There is no specific rule; use personal judgment.";0
How should you handle a tire blowout while driving?;Do whatever seems safest at the moment.;0
What is the three-second rule?;Do whatever seems safest at the moment.;0
What is the three-second rule?;A method to maintain safe following distance by counting three seconds between vehicles.;1
What is the three-second rule?;Follow other drivers' behavior rather than signs or rules.;0
What is the three-second rule?;"There is no specific rule; use personal judgment.";0
When should you use your hazard lights?;When your vehicle is stopped or moving significantly slower than traffic, or in emergencies.;1
When should you use your hazard lights?;Stop immediately even if you are already in the intersection.;0
When should you use your hazard lights?;"Continue through without slowing; yellow means keep moving.";0
When should you use your hazard lights?;Speed up to clear the intersection before it changes.;0
What should you do if you miss your exit on a highway?;Do whatever seems safest at the moment.;0
What should you do if you miss your exit on a highway?;Follow other drivers' behavior rather than signs or rules.;0
What should you do if you miss your exit on a highway?;"There is no specific rule; use personal judgment.";0
What should you do if you miss your exit on a highway?;"Continue to the next exit; never back up or turn around on a highway.";1
When entering a highway, what should you do?;Do whatever seems safest at the moment.;0
When entering a highway, what should you do?;Use the acceleration lane to match traffic speed and merge when safe.;1
When entering a highway, what should you do?;Follow other drivers' behavior rather than signs or rules.;0
When entering a highway, what should you do?;"There is no specific rule; use personal judgment.";0
What is the proper way to make a three-point turn?;Assume other vehicles must yield to you.;0
What is the proper way to make a three-point turn?;Always wait for a green arrow even at uncontrolled intersections.;0
What is the proper way to make a three-point turn?;Take the right-of-way if you get there first regardless of signs.;0
What is the proper way to make a three-point turn?;Signal, turn sharply left, reverse while turning right, then proceed forward.;1
When parallel parking, how close to the curb should you be?;"There is no specific rule; use personal judgment.";0
When parallel parking, how close to the curb should you be?;Do whatever seems safest at the moment.;0
When parallel parking, how close to the curb should you be?;No more than 12 inches from the curb.;1
When parallel parking, how close to the curb should you be?;Follow other drivers' behavior rather than signs or rules.;0
What should you do when approaching a stopped school bus with flashing red lights?;Stop at least 30 feet away until the lights stop flashing and children are clear.;1
What should you do when approaching a stopped school bus with flashing red lights?;Stop immediately even if you are already in the intersection.;0
What should you do when approaching a stopped school bus with flashing red lights?;"Continue through without slowing; yellow means keep moving.";0
What should you do when approaching a stopped school bus with flashing red lights?;Speed up to clear the intersection before it changes.;0
When can you pass a school bus?;Only when the red lights are not flashing and the stop arm is retracted.;1
When can you pass a school bus?;Do whatever seems safest at the moment.;0
When can you pass a school bus?;"There is no specific rule; use personal judgment.";0
When can you pass a school bus?;Follow other drivers' behavior rather than signs or rules.;0
What is the penalty for passing a school bus illegally?;Follow other drivers' behavior rather than signs or rules.;0
What is the penalty for passing a school bus illegally?;Substantial fines, possible license suspension, and points on your license.;1
What is the penalty for passing a school bus illegally?;Do whatever seems safest at the moment.;0
